timestamp,service_id,current_pod_count,request_rate_rps,latency_p95_ms,latency_p99_ms,error_rate_percent,queue_length,pod_cpu_usage_percent_avg,pod_cpu_usage_percent_p95,pod_memory_usage_mb_avg,pod_memory_usage_mb_p95,hour_sin,hour_cos,day_sin,day_cos,mesh_inbound_rps,mesh_inbound_latency_p95,mesh_inbound_error_rate,degree_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality
2025-11-01 00:00:00,Order,2,73.3,85.09,111.69,0.036,0.0,26.36,30.07,516.7,575.8,0.0,1.0,-0.9749,-0.2225,71.99,83.33,0.0371,0.8313,0.8591,0.6531,0.7367
2025-11-01 00:01:00,Order,2,75.69,93.87,131.05,0.0361,0.0,29.32,33.63,526.4,560.5,0.0,1.0,-0.9749,-0.2225,74.63,88.76,0.0341,0.797,0.8745,0.6764,0.7216
2025-11-01 00:02:00,Order,2,79.28,91.01,123.72,0.0363,0.0,28.98,34.94,523.9,556.6,0.0,1.0,-0.9749,-0.2225,79.07,84.48,0.0343,0.8088,0.8933,0.6303,0.7102
2025-11-01 00:03:00,Order,2,81.81,84.87,103.11,0.0364,0.0,33.21,38.83,555.4,615.0,0.0,1.0,-0.9749,-0.2225,81.46,82.47,0.0397,0.7837,0.8883,0.6635,0.7434
2025-11-01 00:04:00,Order,2,81.72,80.07,99.22,0.0364,0.0,30.64,35.01,518.9,547.2,0.0,1.0,-0.9749,-0.2225,79.5,78.01,0.0378,0.8163,0.875,0.6596,0.7066
2025-11-01 00:05:00,Order,2,79.54,77.05,107.67,0.0363,0.0,33.51,41.81,572.3,618.0,0.0,1.0,-0.9749,-0.2225,81.78,73.01,0.0386,0.8339,0.8999,0.6665,0.7213
2025-11-01 00:06:00,Order,2,76.77,74.74,92.3,0.0361,0.0,31.61,38.97,547.4,605.2,0.0,1.0,-0.9749,-0.2225,74.91,70.94,0.0337,0.7788,0.8963,0.6463,0.7154
2025-11-01 00:07:00,Order,2,73.14,68.89,83.51,0.0358,0.0,31.9,37.61,513.2,554.3,0.0,1.0,-0.9749,-0.2225,73.55,66.46,0.0359,0.8154,0.8885,0.6172,0.7499
2025-11-01 00:08:00,Order,2,67.87,65.17,80.54,0.0355,0.0,30.97,36.11,488.9,533.9,0.0,1.0,-0.9749,-0.2225,68.22,62.69,0.036,0.842,0.8913,0.6731,0.7258
2025-11-01 00:09:00,Order,2,63.85,65.07,83.15,0.0353,0.0,27.89,34.6,550.5,588.2,0.0,1.0,-0.9749,-0.2225,63.34,61.92,0.0335,0.82,0.8779,0.6477,0.749
2025-11-01 00:10:00,Order,2,65.19,64.56,85.34,0.0354,0.0,26.69,33.18,527.4,588.8,0.0,1.0,-0.9749,-0.2225,65.1,62.1,0.0319,0.8086,0.9134,0.668,0.7559
2025-11-01 00:11:00,Order,2,70.23,64.86,81.78,0.0355,0.0,28.1,35.03,558.9,625.1,0.0,1.0,-0.9749,-0.2225,70.65,62.29,0.0356,0.8006,0.897,0.6892,0.6967
2025-11-01 00:12:00,Order,2,73.03,66.61,89.51,0.0357,0.0,31.25,39.06,511.7,553.4,0.0,1.0,-0.9749,-0.2225,74.41,63.99,0.0345,0.8241,0.8764,0.6372,0.6892
2025-11-01 00:13:00,Order,2,72.34,67.6,91.48,0.0358,0.0,30.04,33.63,544.2,591.5,0.0,1.0,-0.9749,-0.2225,72.27,66.03,0.0374,0.7949,0.8533,0.6426,0.7142
